timestamp,gpu_util_pct,mem_used_mib,power_w,temp_c
2026/04/25 11:13:09.677, 96, [N/A], 53.30, 71
2026/04/25 11:13:14.737, 96, [N/A], 53.14, 70
2026/04/25 11:13:19.798, 96, [N/A], 53.15, 71
2026/04/25 11:13:24.852, 96, [N/A], 52.92, 75
2026/04/25 11:13:29.913, 96, [N/A], 52.97, 66
2026/04/25 11:13:34.976, 96, [N/A], 53.19, 74
2026/04/25 11:13:40.036, 16, [N/A], 29.13, 63
2026/04/25 11:13:45.113, 96, [N/A], 52.62, 67
2026/04/25 11:13:50.167, 96, [N/A], 54.71, 70
2026/04/25 11:13:55.240, 96, [N/A], 59.04, 74
2026/04/25 11:14:00.318, 95, [N/A], 52.40, 74
2026/04/25 11:14:05.372, 96, [N/A], 54.01, 71
2026/04/25 11:14:10.442, 96, [N/A], 55.92, 70
2026/04/25 11:14:15.515, 96, [N/A], 54.93, 70
2026/04/25 11:14:20.631, 96, [N/A], 58.08, 71
2026/04/25 11:14:25.692, 95, [N/A], 52.45, 66
2026/04/25 11:14:30.768, 96, [N/A], 54.17, 70
2026/04/25 11:14:35.837, 96, [N/A], 57.65, 72
2026/04/25 11:14:40.904, 96, [N/A], 53.56, 69
2026/04/25 11:14:45.970, 96, [N/A], 53.69, 71
2026/04/25 11:14:51.037, 96, [N/A], 55.83, 72
2026/04/25 11:14:56.083, 96, [N/A], 52.03, 70
2026/04/25 11:15:01.134, 96, [N/A], 55.00, 76
2026/04/25 11:15:06.194, 96, [N/A], 56.12, 72
2026/04/25 11:15:11.245, 96, [N/A], 56.57, 71
2026/04/25 11:15:16.287, 96, [N/A], 55.45, 72
2026/04/25 11:15:21.338, 96, [N/A], 55.61, 74
2026/04/25 11:15:26.386, 96, [N/A], 57.75, 71
2026/04/25 11:15:31.420, 96, [N/A], 57.66, 72
2026/04/25 11:15:36.456, 96, [N/A], 57.19, 71
2026/04/25 11:15:41.494, 96, [N/A], 57.13, 71
2026/04/25 11:15:46.547, 96, [N/A], 56.85, 71
2026/04/25 11:15:51.596, 96, [N/A], 58.01, 72
2026/04/25 11:15:56.653, 96, [N/A], 58.42, 72
2026/04/25 11:16:01.725, 96, [N/A], 57.86, 72
2026/04/25 11:16:06.791, 96, [N/A], 56.62, 71
2026/04/25 11:16:11.852, 7, [N/A], 34.42, 67
2026/04/25 11:16:16.951, 96, [N/A], 56.32, 70
2026/04/25 11:16:22.031, 96, [N/A], 59.99, 70
2026/04/25 11:16:27.095, 96, [N/A], 58.82, 72
2026/04/25 11:16:32.148, 96, [N/A], 58.21, 71
2026/04/25 11:16:37.210, 96, [N/A], 59.05, 76
